Hop count Network.node[5].app (#0 - General-0-20190602-12:09:04-3749),
1.485228163722,1
2.485228163722,1
3.485228163722,2
4.485228163722,3
5.485228163722,1
6.485228163722,2
7.485228163722,1
8.485228163722,3
9.485228163722,3
10.485228163722,1
11.485228163722,1
12.485228163722,3
13.485228163722,1
14.485228163722,2
15.485228163722,1
16.485228163722,4
17.485228163722,1
18.485228163722,2
19.485228163722,5
20.485228163722,2
21.485228163722,1
22.485228163722,3
23.485228163722,1
24.485228163722,2
25.485228163722,4
26.485228163722,2
27.485228163722,1
28.485228163722,5
29.485228163722,2
30.485228163722,5
31.485228163722,1
32.485228163722,1
33.485228163722,2
34.485228163722,1
35.485228163722,1
36.485228163722,1
37.485228163722,6
38.485228163722,1
39.485228163722,1
40.485228163722,2
41.485228163722,1
42.485228163722,2
43.485228163722,2
44.485228163722,1
45.485228163722,3
46.485228163722,1
47.485228163722,1
48.485228163722,2
49.485228163722,1
50.485228163722,3
51.485228163722,1
52.485228163722,3
53.485228163722,3
54.485228163722,3
55.485228163722,2
56.485228163722,1
57.485228163722,4
58.485228163722,1
59.485228163722,3
60.485228163722,1
61.485228163722,2
62.485228163722,3
63.485228163722,2
64.485228163722,1
65.485228163722,4
66.485228163722,1
67.485228163722,2
68.485228163722,1
69.485228163722,3
70.485228163722,1
71.485228163722,1
72.485228163722,2
73.485228163722,1
74.485228163722,1
75.485228163722,3
76.485228163722,2
77.485228163722,5
78.485228163722,1
79.485228163722,2
80.485228163722,3
81.485228163722,1
82.485228163722,2
83.485228163722,1
84.485228163722,2
85.485228163722,1
86.485228163722,4
87.485228163722,2
88.485228163722,2
89.485228163722,1
90.485228163722,1
91.485228163722,3
92.485228163722,1
93.485228163722,1
94.485228163722,2
95.485228163722,2
96.485228163722,4
97.485228163722,2
98.485228163722,2
99.485228163722,1
100.485228163722,3
101.485228163722,2
102.485228163722,1
103.485228163722,2
104.485228163722,1
105.485228163722,4
106.485228163722,1
107.485228163722,1
108.485228163722,3
109.485228163722,2
110.485228163722,1
111.485228163722,1
112.485228163722,3
113.485228163722,2
114.485228163722,1
115.485228163722,7
116.485228163722,1
117.485228163722,4
118.485228163722,1
119.485228163722,1
120.485228163722,2
121.485228163722,1
122.485228163722,1
123.485228163722,6
124.485228163722,1
125.485228163722,1
126.485228163722,2
127.485228163722,1
128.485228163722,4
129.485228163722,1
130.485228163722,2
131.485228163722,5
132.485228163722,1
133.485228163722,1
134.485228163722,2
135.485228163722,1
136.485228163722,2
137.485228163722,1
138.485228163722,1
139.485228163722,2
140.485228163722,1
141.485228163722,3
142.485228163722,2
143.485228163722,4
144.485228163722,2
145.485228163722,1
146.485228163722,5
147.485228163722,1
148.485228163722,1
149.485228163722,4
150.485228163722,2
151.485228163722,2
152.485228163722,7
153.485228163722,1
154.485228163722,3
155.485228163722,1
156.485228163722,2
157.485228163722,4
158.485228163722,1
159.485228163722,4
160.485228163722,1
161.485228163722,1
162.485228163722,1
163.485228163722,2
164.485228163722,2
165.485228163722,1
166.485228163722,3
167.485228163722,1
168.485228163722,5
169.485228163722,1
170.485228163722,3
171.485228163722,1
172.485228163722,4
173.485228163722,1
174.485228163722,1
175.485228163722,2
176.485228163722,3
177.485228163722,1
178.485228163722,6
179.485228163722,3
180.485228163722,1
181.485228163722,1
182.485228163722,2
183.485228163722,1
184.485228163722,1
185.485228163722,4
186.485228163722,1
187.485228163722,3
188.485228163722,1
189.485228163722,2
190.485228163722,1
191.485228163722,5
192.485228163722,1
193.485228163722,1
194.485228163722,2
195.485228163722,2
196.485228163722,1
197.485228163722,3
198.485228163722,1
199.485228163722,4
